,school_code,school_name,school_score,students_amount
0,79160,COLEGIO BILINGUE DIANA OESE,42.95918367346939,14
1,25130,GIMN VERMONT                                                                                        ,41.900455927051674,94
2,88641,COLEGIO LEONARDO DA VINCI,41.714285714285715,1
3,110858,COL NUEVO CAMBRIDGE,41.69967532467532,44
4,55129,COL LA QUINTA DEL PUENTE,41.48285714285715,25
5,24281,COL SAN JORGE DE INGLATERRA,41.36103896103896,55
6,55988,COL LOS NOGALES,41.014005602240886,51
7,54528,COLEGIO INTERNACIONAL DE EDUCACION INTEGRAL - CIEDI,40.64285714285714,41
8,62182,COL BILING BUCKINGHAM,40.6279761904762,48
9,149690,GIMNASIO CAMPESTRE SAN RAFAEL,40.41208791208791,13
10,27011,ASPAEN GIMNASIO CARTAGENA DE INDIAS,40.38223938223939,37
11,19489,COL SANTA FRANCISCA ROMANA,40.33898305084745,59
12,16774,COLEGIO COLOMBO BRITÁNICO,40.25251509054326,71
13,46490,GIMNASIO LOS PORTALES COLEGIO BILINGÜE,40.1692546583851,46
14,135558,COLEGIO REAL (ROYAL SCHOOL),40.034693877551014,35
15,3327,COLEGIO HEBREO UNION,40.0,9
16,156166,GIMN ALESSANDRO VOLTA,39.95535714285715,8
17,19471,COL SAN CARLOS                                                                                      ,39.76267281105991,124
18,105742,COLEGIO FREINET,39.66359447004608,31
19,62497,COL SAN MATEO APOSTOL                                                                               ,39.60942249240121,47
20,130732,COL LA COLINA                                                                                       ,39.58791208791209,13
21,118364,COLEGIO ALTAMIRA,39.5047619047619,45
22,79327,GIMN LA MONTAÑA                                                                                     ,39.4512987012987,44
23,19695,COL SAN TARSICIO                                                                                    ,39.39642857142857,20
24,89243,LIC MONTESSORI,39.296992481203006,19
25,143396,COLEGIO PHILADELPHIA INTERNACIONAL,39.28769841269841,36
26,19513,FUND NUEVO MARYMOUNT                                                                                ,39.20549450549449,65
27,22632,ASPAEN GIMNASIO IRAGUA,39.16534391534391,54
28,43562,COL CAMPOALEGRE LTDA,39.15986394557823,21
29,19422,COL ITALIANO LEONARDO DA VINCI,39.05580357142858,64
30,66431,COL INTERNACIONAL DE BOGOTA,39.035714285714285,18
31,25411,GIMN DE LOS CERROS                                                                                  ,39.00501253132831,57
32,46557,COLEGIO BRITANICO INTERNACIONAL,38.95238095238095,60
33,62455,COLEGIO BRITANICO DE CARTAGENA,38.94360902255639,38
34,3418,COLEGIO KARL C PARRISH,38.85422740524781,49
35,17004,COLEGIO HISPANOAMERICANO,38.84266409266409,74
36,19331,COL ABRAHAM LINCOLN,38.768973214285715,64
37,49387,ASPAEN GIMNASIO CARTAGENA,38.752551020408156,28
38,19349,COL ANDINO                                                                                          ,38.74055829228243,87
39,16741,COL BOLIVAR,38.73006644518273,86
40,4234,COLEGIO JORGE WASHINGTON,38.7,40
41,95414,COLEGIO HACIENDA LOS ALCAPARROS,38.68788819875776,46
42,22574,GIMN FEMENINO                                                                                       ,38.61263736263736,52
43,25395,GIMN CAMPESTRE                                                                                      ,38.5978021978022,65
44,111658,COL CALATRAVA,38.52857142857143,10
45,58867,ASOCIACION COLEGIO GRANADINO,38.37755102040817,42
46,53363,COLEGIO BILINGUE  SANTA MARTA,38.261224489795914,35
47,106229,FUNDACION COLEGIO CARDENAL JHON HENRY NEWMAN                         ,38.245714285714286,50
48,16667,CORPORACIÓN CULTURAL COLEGIO ALEMÁN,38.05119047619048,60
49,142851,COLEGIO VICTORIA,38.04511278195489,19
50,19364,COL ANGLO COLOMBIANO                                                                                ,38.03028571428571,125
51,21485,COL JOSE MAX LEON,38.019642857142856,40
52,19497,COL SANTA MARIA                                                                                     ,37.96509740259739,88
53,48298,ASPAEN LICEO TACURÍ,37.91353383458647,19
54,111682,EL CAMINO ACADEMY                                                                                   ,37.883458646616546,19
55,24463,COL JEFFERSON,37.868852459016395,61
56,19380,COL COLOMBO HEBREO                                                                                  ,37.82653061224489,14
57,24299,LIC FRANCES LOUIS PASTEUR,37.82547864506628,97
58,3459,COLEGIO MARYMOUNT,37.80730897009967,86
59,164228,COL CUMBRES                                                 ,37.79220779220779,22
60,58628,COLEGIO INTERNACIONAL LOS CAÑAVERALES,37.73214285714286,8
61,17335,COL BERCHMANS,37.728571428571435,125
62,19448,COL NUEVA GRANADA                                                                                   ,37.711309523809526,96
63,135921,COLEGIO LOS TREBOLES                                            ,37.627551020408156,14
64,50724,COLEGIO ALBANIA,37.49285714285714,50
65,58065,COL LIC FRANCES DE PEREIRA,37.474206349206355,36
66,42473,GIMN BRITANICO                                              ,37.46938775510204,84
67,94250,GIMN LOS CAOBOS,37.43722943722944,99
68,129502,INTERNATIONAL BERCKLEY SCHOOL,37.41571428571429,50
69,17806,LICEO FRANCES PAUL VALERY,37.37582417582418,65
70,51292,ASPAEN GIMNASIO LOS CORALES,37.37142857142857,10
71,26393,COL PANAMERICANO,37.34053156146179,43
72,26369,GIMN DEL NORTE,37.3008658008658,33
73,106286,COLEGIO TILATA                                                  ,37.296992481203006,38
74,29231,CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,37.26415094339622,53
75,19430,COL LA CANDELARIA                                                                                   ,37.091836734693885,21
76,182,COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL,37.070634920634916,90
77,156299,GIMNASIO CAMPESTRE LOS CEREZOS,37.00420168067227,17
78,19505,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),36.95135467980296,116
79,19406,COL HELVETIA                                                                                        ,36.83797909407666,41
80,20503,COLEGIO INTERNACIONAL SEK COLOMBIA - TRINIDAD DEL MONTE ,36.832142857142856,20
81,16998,COLEGIO HEBREO JORGE ISAACS,36.818681318681314,13
82,17749,LICEO BENALCAZAR,36.79613095238095,48
83,21899,COL SAN BARTOLOME LA MERCED,36.77827380952382,144
84,62208,COL MAYOR DE LOS ANDES,36.738544474393535,53
85,170621,COLEGIO CAMPESTRE ANGLO HISPANO,36.648809523809526,12
86,79657,COLEGIO BRITANICO DE MONTERIA MS S.A.S,36.63636363636363,33
87,16733,COLEGIO BENNETT,36.520408163265294,63
88,54197,INSTITUCION EDUCATIVA ASPAEN GIMNASIO ALTAMAR BILINGUE,36.48051948051948,11
89,53348,COL BILING CLERMONT,36.47142857142857,20
90,50625,COL LOS ANDES,36.41925465838509,23
91,55806,COLEGIO GIMNASIO LA COLINA,36.37244897959184,28
92,100354,COL CAMPESTRE AMERICANO,36.347619047619055,15
93,135905,LIC CAMPESTRE DE PEREIRA,36.25892857142857,8
94,22665,GIMNASIO PEPA CASTRO,36.25,26
95,39172,COL. FUND.   BILING . DE VALLEDUPAR,36.23639455782313,42
96,96131,INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO,36.229110512129395,53
97,118042,COLEGIO BILINGUE RICHMOND,36.18681318681318,65
98,79285,GIMN FONTANA                                                                                        ,36.18487394957983,68
99,36723,COL ROCHESTER                                                                                       ,36.12215320910973,69
100,77776,COL FUNDACION LIC INGLES,36.1,30
101,129650,COLEGIO BRITÁNICO-THE BRITISH SCHOOL,36.06887755102041,28
102,50559,ASPAEN COLEGIO JUANAMBÚ,35.98701298701299,22
103,156331,FUND COL SAN JUAN DEL CAMINO,35.976190476190474,6
104,74641,COLEGIO LEON DE GREIFF,35.95178571428572,40
105,16873,COLEGIO DEL SAGRADO CORAZÓN DE JESÚS-VALLE DEL LILI,35.901785714285715,24
106,143594,COLEGIO DAVID,35.892857142857146,12
107,58651,JARDÍN TIA NORA Y LICEO LOS ALPES ,35.86945812807882,29
108,42069,COL FONTAN,35.801587301587304,9
109,142661,COLEGIO GIMNASIO VERMONT,35.80133928571429,32
110,47357,ASPAEN GIMNASIO HORIZONTES,35.79591836734694,21
111,149476,CORPÓRACION GIMNASIO ALEMÁN FRIENDRICH VON SCHILLER,35.628571428571426,10
112,111419,INSTITUTO BILINGUE AGORA,35.6103896103896,11
113,143644,COLEGIO BURECHE,35.59340659340659,39
114,156091,COL. ANGLOHISPANO,35.52709359605911,29
115,18721,SEM DE CRISTO SACERDOTE,35.48809523809524,24
116,3046,CORP CULT COL ALEMAN,35.43163265306122,70
117,155036,LIC TALLER SAN MIGUEL,35.37380952380952,30
118,100990,GIMN INGLES,35.330357142857146,24
119,58719,COLEGIO INGLES DE LOS ANDES,35.260000000000005,25
120,108225,COL GIMN PIEDEMONTE                                                                                 ,35.195238095238096,15
121,130187,COLEGIO SAGRADO CORAZON MONTEMAYOR,35.175000000000004,20
122,44065,ASPAEN-GIMNASIO LOS CEREZOS,35.16326530612245,14
123,66860,GIMNASIO SANTA ANA                                                                         ,35.12380952380953,15
