,school_code,school_name,school_score,students_amount
0,99002,LIC CAMPO DAVID,82.75714285714285,20
1,79806,COL NUEVO COLOMBO AMERICANO,80.41925465838509,46
2,24059,LIC NAVARRA,79.57142857142857,45
3,66845,INST ALBERTO MERANI,79.29870129870129,33
4,125211,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),79.04395604395606,13
5,19810,COL ANGLO AMERICANO,78.56484962406016,152
6,66431,COL INTERNACIONAL DE BOGOTA,78.42857142857143,1
7,75176,COL EL PINAR,77.85714285714286,1
8,98640,COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,77.69439421338156,79
9,29462,FUND COL UIS,77.0391156462585,84
10,3194,NUEVO COLEGIO DEL PRADO,76.87784679089027,69
11,96578,COLEGIO LOS ÁNGELES,76.84975369458127,58
12,14233,COL  SAN PEDRO CLAVER,76.8099173553719,121
13,14472,COL EL ROSARIO,76.71804511278197,38
14,12047,COL CALASANZ,76.62025316455696,79
15,41996,COL MONTESSORI,76.0783410138249,62
16,127472,COL BILINGUE DIVINO NIÑO,76.00952380952381,15
17,3665,FUNDACION EDUCATIVA INSTITUTO EXPERIMENTAL DEL ATLANTICO JOSE CELESTINO MUTIS,75.97695852534562,31
18,25338,COL REFOUS,75.85878489326764,87
19,190,COL DE LA COMPANIA DE MARIA,75.84603174603176,90
20,23747,LIC  DE CERVANTES PADRES AGUSTINOS,75.71142857142856,100
21,80127,COLEGIO CORAZONISTA,75.20192307692308,104
22,35816,COL LUIS LOPEZ DE MESA,75.17142857142858,15
23,180372,COL LEONARDO DA VINCI,75.14285714285714,1
24,73494,CORP. EDUC. GIMN. ALTAIR DE C/GENA.,75.00772200772201,37
25,136267,COL REUVEN FEUERSTEIN,74.95454545454545,22
26,463,COL SAN IGNACIO DE LOYOLA,74.81163084702908,113
27,133256,COLEGIO ALIANZA PEDAGOGICA,74.69523809523811,15
28,2451,ASPAEN - GIMNASIO LOS ALCAZARES,74.60790273556229,47
29,61614,COL  SAN BONIFACIO DE LAS LANZAS,74.56428571428572,40
30,596,COL GIMN LOS PINARES,74.5,36
31,42069,COL FONTAN,74.39455782312925,21
32,63438,COL NUEVA INGLATERRA,74.37946428571429,64
33,77602,GIM LOS ALMENDROS,74.14285714285714,26
34,59337,INST MUSICAL DIEGO ECHAVARRIA,73.91428571428571,10
35,65177,ASPAEN GIMNASIO CANTILLANA,73.77142857142857,25
36,179366,COORPORACION EDUCATIVA NISI SCHOOL,73.42857142857143,1
37,144337,COLEGIO SAN ALBERTO MAGNO,73.36428571428571,20
38,50039,ASPAEN GIMNASIO LA FRAGUA,73.28571428571429,24
39,14316,INST  CALDAS,73.27857142857142,60
40,54783,ASPAEN GIMNASIO YUMANA,73.11428571428571,25
41,128728,GIMNASIO EL HONTANAR,72.7797619047619,24
42,194639,COLEGIO BILINGUE LERNER & KLEIN,72.76530612244898,14
43,133934,AMERICAN SCHOOL SAINT FRANCES,72.74603174603175,18
44,122929,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,72.71428571428571,1
45,3608,INSTITUCION EDUCATIVA DISTRITAL ALEXANDER VON HUMBOLDT,72.70476190476191,60
46,123778,COL NUEVA ALIANZA INTEGRAL,72.70285714285714,25
47,19828,COL ANTONIO NARIÑO H.H. CORAZONISTAS,72.59878419452887,47
48,23564,INST SAN PABLO APOSTOL,72.45341614906833,46
49,32730,COL DE LA SALLE,72.42396313364056,124
50,133637,COLEGIO HERALDOS DEL EVANGELIO,72.37142857142858,5
51,37770,COLEGIO JOSE MARIA BERRIO,72.21904761904761,15
52,170837,CENTRO EDUCATIVO BOSTON INTERNACIONAL,72.15966386554622,17
53,114074,LIC NUEVA GENERACION,72.0952380952381,15
54,152058,COLEGIO SAN JOSE DE LAS VEGAS,72.05194805194805,66
55,156232,COL CALASANZ,71.9904761904762,75
56,49189,COLEGIO SEMINARIO CORAZONISTA,71.97802197802199,26
57,372,COL MARYMOUNT,71.9487870619946,53
58,102632,COL AGUSTINIANO CIUDAD SALITRE,71.93431855500822,174
59,1784,COLOMBO BRITANICO,71.92318059299193,106
60,116236,COLEGIO ANDINO DE TUNJA,71.90285714285716,25
61,22004,COL SAN PATRICIO,71.84523809523809,24
