,school_code,school_name,school_score,students_amount
0,55129,COL LA QUINTA DEL PUENTE,80.65263157894738,19
1,110858,COL NUEVO CAMBRIDGE,80.62553191489361,47
2,79160,COLEGIO BILINGUE DIANA OESE,78.50416666666668,48
3,88906,COLEGIO HARVARD,78.2,1
4,24281,COL SAN JORGE DE INGLATERRA,77.85974025974026,77
5,156166,GIMN ALESSANDRO VOLTA,77.05714285714285,14
6,19471,COL SAN CARLOS,76.45567010309277,97
7,143396,COLEGIO PHILADELPHIA INTERNACIONAL,76.14545454545454,22
8,55988,COL LOS NOGALES,75.9322033898305,59
9,25130,GIMN VERMONT,75.87640449438203,89
10,130732,COL LA COLINA,75.44545454545455,22
11,177469,COL  MONTESSORI BRITISH SCHOOL,75.24799999999999,50
12,88641,COLEGIO LEONARDO DA VINCI,75.13333333333334,6
13,43562,COL CAMPOALEGRE LTDA,74.8608695652174,23
14,19331,COL ABRAHAM LINCOLN,74.82,70
15,79327,GIMN LA MONTAÑA,74.56666666666666,36
16,62497,COL SAN MATEO APOSTOL,74.55,44
17,19489,COL SANTA FRANCISCA ROMANA,74.21,60
18,62182,COL BILING BUCKINGHAM,73.94634146341464,41
19,118364,COLEGIO ALTAMIRA,73.91020408163266,49
20,25395,GIMN CAMPESTRE,73.80327868852459,61
21,25411,GIMN DE LOS CERROS,73.74782608695654,46
22,41996,COL MONTESSORI,73.72982456140352,57
23,105742,COLEGIO FREINET,73.65454545454544,44
24,19513,FUND NUEVO MARYMOUNT,73.60701754385964,57
25,706234,INSTITUTO PAULO FREIRE,73.4,1
26,53348,COL BILING CLERMONT,73.30434782608695,23
27,19695,COL SAN TARSICIO,73.21600000000001,25
28,17004,COLEGIO HISPANOAMERICANO,73.04935064935064,77
29,62455,COLEGIO BRITANICO DE CARTAGENA,73.0,19
30,628255,COLEGIO COLOMBO BRITÁNICO,72.94651162790697,86
31,19406,COL HELVETIA,72.82745098039216,51
32,4234,COLEGIO JORGE WASHINGTON,72.68235294117646,34
33,26393,COL PANAMERICANO,72.65945945945946,37
34,100990,GIMN INGLES,72.56,45
35,17335,COL BERCHMANS,72.53385826771654,127
36,46490,GIMNASIO LOS PORTALES COLEGIO BILINGÜE,72.5025641025641,39
37,58065,COL LIC FRANCES DE PEREIRA,72.425,40
38,22632,ASPAEN GIMNASIO IRAGUA,72.30188679245283,53
39,24299,LIC FRANCES LOUIS PASTEUR,72.28039215686276,102
40,49387,ASPAEN GIMNASIO CARTAGENA,72.21666666666668,24
41,16667,CORPORACIÓN CULTURAL COLEGIO ALEMÁN,72.10909090909091,55
42,106286,COLEGIO TILATA,72.10857142857144,35
43,22574,GIMN FEMENINO,72.06285714285715,35
44,55806,COLEGIO GIMNASIO LA COLINA,71.96153846153847,26
45,135905,LIC CAMPESTRE DE PEREIRA,71.91428571428573,7
46,54528,COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA.,71.81777777777778,45
47,27011,ASPAEN GIMNASIO CARTAGENA DE INDIAS,71.8,27
48,21899,COL SAN BARTOLOME LA MERCED,71.76806722689076,119
49,3327,COLEGIO HEBREO UNION,71.64615384615384,13
50,19422,COL ITALIANO LEONARDO DA VINCI,71.49999999999999,76
51,118042,COL BILING RICHMOND,71.46071428571429,56
52,111682,EL CAMINO ACADEMY,71.44761904761906,21
53,19448,COL NUEVA GRANADA,71.40208333333334,96
54,77776,COL FUNDACION LIC INGLES,71.38749999999999,32
55,20503,COLEGIO TRINIDAD DEL MONTE SCHOOL OF THE SACRED HEART,71.30999999999999,20
56,48298,ASPAEN LICEO TACURÍ,71.14444444444445,18
57,3459,COLEGIO MARYMOUNT,71.05573770491803,61
58,95414,COLEGIO HACIENDA LOS ALCAPARROS,70.99375,32
59,106344,AMERICAN SCHOOL,70.97272727272727,22
60,130534,COLEGIO LA ARBOLEDA,70.925,32
61,46557,COLEGIO BRITANICO INTERNACIONAL,70.81904761904761,42
62,39172,COL. FUND.   BILING . DE VALLEDUPAR,70.79111111111112,45
63,135558,COLEGIO REAL (ROYAL SCHOOL),70.776,50
64,58628,COLEGIO INTERNACIONAL LOS CAÑAVERALES,70.75,8
65,34306,COL COLOMBO GALES,70.73658536585367,41
66,42473,GIMN BRITANICO,70.72857142857141,56
67,19349,COL ANDINO,70.72413793103446,116
68,50567,COLEGIO LAURETTA BENDER,70.62,20
69,17749,LICEO BENALCAZAR,70.57714285714285,35
70,149690,GIMNASIO CAMPESTRE SAN RAFAEL,70.56666666666666,18
71,142661,COLEGIO GIMNASIO VERMONT,70.44827586206897,29
72,19364,COL ANGLO COLOMBIANO,70.44724409448818,127
73,50559,ASPAEN COLEGIO JUANAMBÚ,70.3923076923077,26
74,3418,COLEGIO KARL C PARRISH,70.34545454545456,55
75,16741,COL BOLIVAR,70.34022988505748,87
76,96131,INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO,70.31794871794872,39
77,21485,COL JOSE MAX LEON,70.2,43
78,19505,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),70.17522123893805,113
79,94250,GIMN LOS CAOBOS,70.13454545454545,55
80,143644,COLEGIO BURECHE,70.0809523809524,42
81,58867,ASOCIACION COLEGIO GRANADINO,70.02608695652174,46
82,19497,COL SANTA MARIA,70.0125,80
83,79061,COL GIMNACIO CALIBIO,70.00000000000001,24
84,24463,COL JEFFERSON,69.91290322580646,62
85,106229,FUNDACION COLEGIO CARDENAL JHON HENRY NEWMAN                         ,69.90285714285714,35
86,62208,COL MAYOR DE LOS ANDES,69.89090909090909,33
87,126409,CORPORACION COLEGIO CUMBRES,69.84782608695652,46
88,168864,LICEO ANGLO COLOMBIANO,69.84,5
89,58719,COLEGIO INGLES DE LOS ANDES,69.81000000000002,20
90,135921,COL LOS TREBOLES,69.8,14
91,142851,COLEGIO VICTORIA,69.79354838709678,31
92,79285,GIMN FONTANA,69.7925925925926,54
93,164228,COL CUMBRES,69.6864864864865,37
94,111658,COL CALATRAVA,69.63157894736842,19
95,596,COL GIMN LOS PINARES,69.61333333333332,30
96,6023,COL. SAN LUIS GONZAGA,69.59354838709679,62
97,46383,COL COLOMBO FRANCES,69.54285714285713,14
98,26369,GIMN DEL NORTE,69.51372549019607,51
99,156299,GIMNASIO CAMPESTRE LOS CEREZOS,69.5,20
100,372,COL MARYMOUNT,69.47272727272728,44
101,164145,COLEGIO SAN JOSÉ,69.47179487179486,39
102,36723,COL ROCHESTER,69.36774193548386,62
103,29231,CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,69.13962264150942,53
104,42069,COL FONTAN,69.08571428571429,7
105,3046,CORP CULT COL ALEMAN,69.0764705882353,68
106,17806,LICEO FRANCES PAUL VALERY,69.03661971830986,71
107,87999,COL BILING DE LA UNIVERSIDAD DEL BOSQUE,68.92,10
108,74641,COLEGIO LEON DE GREIFF,68.905,40
109,16733,COLEGIO BENNETT,68.86190476190478,42
110,11288,COL SAN FRANCISCO JAVIER,68.84096385542168,83
111,50724,COLEGIO ALBANIA,68.78,30
112,155036,LIC TALLER SAN MIGUEL,68.74871794871794,39
113,150243,CIBERCOLEGIO UCN,68.73333333333333,3
114,182,COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL,68.6923076923077,117
115,3350,COLEGIO LA MEDALLA  MILAGROSA,68.60000000000001,9
116,79657,COLEGIO BRITANICO DE MONTERIA MS S.A.S,68.41379310344827,29
117,89243,LIC MONTESSORI,68.4,18
118,58651,JARDÍN TIA NORA Y LICEO LOS ALPES ,68.37575757575756,33
119,178038,COL ARCA INTERNACIONAL BILINGÜE,68.28,10
120,156604,COLEGIO CANADIENSE,68.1423076923077,52
121,179358,COLEGIO SAN JOSÉ,68.12999999999998,80
122,129502,INTERNATIONAL BERCKLEY SCHOOL,68.12142857142855,28
123,17061,COLEGIO LACORDAIRE,68.09062499999999,64
124,24372,COL GIMNASIO NORTE DEL VALLE,67.89999999999999,22
125,143099,COL GRAN BRETAÑA,67.87499999999999,32
126,53363,COLEGIO BILINGUE  SANTA MARTA,67.86874999999999,32
127,177766,COLEGIO NUEVO CAMBRIDGE,67.84615384615385,13
128,106153,CENTRO EDUCATIVOS POR CICLOS PARA ADULTOS EL TAMBO CEDCAT,67.8,1
129,129650,COLEGIO BRITÁNICO-THE BRITISH SCHOOL,67.78285714285714,35
130,156208,TANDEM,67.75,16
131,94755,LICEO JUVENIL,67.46666666666665,12
132,2451,ASPAEN - GIMNASIO LOS ALCAZARES,67.33636363636364,44
133,179226,COLEGIO KNIGHTSBRIDGE SCHOOLS INTERNATIONAL,67.28823529411765,34
134,100354,COL CAMPESTRE AMERICANO,67.26666666666667,6
135,22665,GIMN JOSEFINA CASTRO DE ESCOBAR,67.15454545454546,22
136,130641,COL MODERNO  JOHN DEWEY,67.125,8
137,131250,COLEGIO ANGLO AMERICANO,67.11428571428571,7
138,53967,COLEGIO BILINGÜE MAXIMILIANO KOLBE,67.01481481481481,27
139,44065,ASPAEN-GIMNASIO LOS CEREZOS,66.90666666666667,15
140,18184,LICEO DE LOS ANDES,66.80000000000001,27
141,76281,NUEVO GIMNASIO CRISTIANO,66.7897435897436,39
142,50625,COL LOS ANDES,66.65,28
143,156331,FUND COL SAN JUAN DEL CAMINO,66.6,7
144,130187,COLEGIO SAGRADO CORAZON MONTEMAYOR,66.52727272727273,33
145,23739,LIC BOSTON,66.41724137931034,58
146,16873,COLEGIO DEL SAGRADO CORAZÓN DE JESÚS-VALLE DEL LILI,66.33333333333333,18
147,11262,COLEGIO DEL SAGRADO CORAZON DE JESUS,66.225,80
148,36756,COLEGIO REYES CATOLICOS,66.12307692307692,52
149,51292,ASPAEN GIMNASIO LOS CORALES,66.06666666666668,3
150,170621,COLEGIO CAMPESTRE ANGLO HISPANO,66.06315789473686,19
151,55657,COLEGIO LUIS HORACIO GOMEZ,66.04516129032258,31
152,19380,COL COLOMBO HEBREO,66.02666666666666,15
