,school_code,school_name,school_score,students_amount
0,110858,COL NUEVO CAMBRIDGE,79.55263157894737,38
1,55129,COL LA QUINTA DEL PUENTE,78.92,15
2,79160,COLEGIO BILINGUE DIANA OESE,78.67199999999998,25
3,130732,COL LA COLINA,76.8307692307692,26
4,143396,COLEGIO PHILADELPHIA INTERNACIONAL,76.625,32
5,25130,GIMN VERMONT,76.54210526315792,76
6,19489,COL SANTA FRANCISCA ROMANA,76.35937500000001,64
7,55988,COL LOS NOGALES,75.91525423728814,59
8,19471,COL SAN CARLOS,75.79795918367347,98
9,24281,COL SAN JORGE DE INGLATERRA,75.55064935064934,77
10,19331,COL ABRAHAM LINCOLN,75.16451612903226,62
11,135905,LIC CAMPESTRE DE PEREIRA,75.16000000000001,10
12,79327,GIMN LA MONTAÑA,74.65853658536585,41
13,54528,COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA.,74.55454545454546,22
14,62497,COL SAN MATEO APOSTOL,74.52765957446809,47
15,111658,COL CALATRAVA,74.43333333333332,12
16,62182,COL BILING BUCKINGHAM,74.41224489795918,49
17,43562,COL CAMPOALEGRE LTDA,74.27999999999999,15
18,177469,COL  MONTESSORI BRITISH SCHOOL,74.26984126984125,63
19,26393,COL PANAMERICANO,74.07000000000001,40
20,106286,COLEGIO TILATA,73.83428571428571,35
21,118364,COLEGIO ALTAMIRA,73.73529411764706,34
22,46490,FUND GIMN LOS PORTALES,73.6076923076923,52
23,49387,ASPAEN GIMNASIO CARTAGENA,73.55555555555554,27
24,55806,COLEGIO GIMNASIO LA COLINA,73.49600000000001,25
25,3327,COLEGIO HEBREO UNION,73.24,10
26,21899,COL SAN BARTOLOME LA MERCED,73.17796610169492,118
27,19422,COL ITALIANO LEONARDO DA VINCI,73.10434782608696,69
28,164228,COL CUMBRES,72.98787878787877,33
29,156166,GIMN ALESSANDRO VOLTA,72.93846153846154,13
30,19513,FUND NUEVO MARYMOUNT,72.93827160493828,81
31,27011,ASPAEN GIMNASIO CARTAGENA DE INDIAS,72.92857142857143,28
32,105742,COLEGIO FREINET,72.82222222222222,45
33,25411,GIMN DE LOS CERROS,72.81818181818181,44
34,19364,COL ANGLO COLOMBIANO,72.77851239669424,121
35,16741,COL BOLIVAR,72.66410256410256,78
36,50625,COL LOS ANDES,72.64500000000001,40
37,149690,GIMNASIO CAMPESTRE SAN RAFAEL,72.63529411764705,17
38,17004,COLEGIO HISPANOAMERICANO,72.5493670886076,79
39,41996,COL MONTESSORI,72.47547169811321,53
40,62455,COLEGIO BRITANICO DE CARTAGENA,72.41538461538461,26
41,95414,COLEGIO HACIENDA LOS ALCAPARROS,72.3892857142857,56
42,17335,COL BERCHMANS,72.27962962962962,108
43,39172,COL. FUND.   BILING . DE VALLEDUPAR,72.20833333333333,48
44,24299,LIC FRANCES LOUIS PASTEUR,72.19527559055119,127
45,25395,GIMN CAMPESTRE,72.18064516129033,62
46,3459,COLEGIO MARYMOUNT,72.03294117647059,85
47,111682,EL CAMINO ACADEMY,72.01111111111112,18
48,19695,COL SAN TARSICIO,71.95555555555555,27
49,100990,GIMN INGLES,71.87058823529412,51
50,16774,COLEGIO COLOMBO BRITÁNICO,71.75384615384617,91
51,142851,COLEGIO VICTORIA,71.73142857142857,35
52,50724,COLEGIO ALBANIA,71.65000000000002,24
53,131250,COLEGIO ANGLO AMERICANO,71.61818181818181,11
54,129502,INTERNATIONAL BERCKLEY SCHOOL,71.51538461538462,26
55,19497,COL SANTA MARIA,71.41538461538461,78
56,58065,COL LIC FRANCES DE PEREIRA,71.38,40
57,53348,COL BILING CLERMONT,71.27999999999999,25
58,142661,COLEGIO GIMNASIO VERMONT,71.25,24
59,22574,GIMN FEMENINO,71.20487804878049,41
60,21485,COL JOSE MAX LEON,71.16000000000001,55
61,58867,ASOCIACION COLEGIO GRANADINO,71.10952380952382,42
62,48298,ASPAEN LICEO TACURÍ,71.09600000000002,25
63,24463,COL JEFFERSON,70.99117647058824,68
64,17749,LICEO BENALCAZAR,70.98846153846154,52
65,19406,COL HELVETIA,70.98139534883721,43
66,79061,COL GIMNACIO CALIBIO,70.96363636363635,22
67,135558,COLEGIO REAL (ROYAL SCHOOL),70.93877551020408,49
68,19448,COL NUEVA GRANADA,70.85494505494502,91
69,4234,COLEGIO JORGE WASHINGTON,70.82127659574469,47
70,199273,COLEGIO EKIRAYA EDUCACION MONTESSORI,70.76,10
71,126409,CORPORACION COLEGIO CUMBRES,70.63478260869567,69
72,46557,COLEGIO BRITANICO INTERNACIONAL,70.50303030303031,66
73,74641,COLEGIO LEON DE GREIFF,70.44102564102563,39
74,50559,ASPAEN COLEGIO JUANAMBÚ,70.44,25
75,22632,ASPAEN GIMNASIO IRAGUA,70.32903225806454,62
76,16667,CORPORACIÓN CULTURAL COLEGIO ALEMÁN,70.17666666666668,60
77,47357,ASPAEN GIMNASIO HORIZONTES,70.03999999999999,15
78,143099,COL GRAN BRETAÑA,69.96842105263158,19
79,106229,FUNDACION COLEGIO CARDENAL JHON HENRY NEWMAN                         ,69.90869565217392,46
80,42473,GIMN BRITANICO,69.84444444444443,54
81,19349,COL ANDINO,69.77142857142859,112
82,44065,ASPAEN-GIMNASIO LOS CEREZOS,69.7,14
83,77776,COL FUNDACION LIC INGLES,69.68571428571428,35
84,19505,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),69.6813559322034,118
85,62208,COL MAYOR DE LOS ANDES,69.52820512820514,39
86,182,COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL,69.45436893203883,103
87,2451,ASPAEN - GIMNASIO LOS ALCAZARES,69.38235294117646,34
88,26369,GIMN DEL NORTE,69.2923076923077,52
89,79285,GIMN FONTANA,69.26909090909089,55
90,36723,COL ROCHESTER,69.18840579710145,69
91,94250,GIMN LOS CAOBOS,69.17704918032787,61
92,29231,CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,69.1622641509434,53
93,156299,GIMNASIO CAMPESTRE LOS CEREZOS,69.10000000000001,12
94,58628,COLEGIO INTERNACIONAL LOS CAÑAVERALES,69.08749999999999,16
95,596,COL GIMN LOS PINARES,69.08510638297874,47
96,51292,ASPAEN GIMNASIO LOS CORALES,69.0,3
97,118042,COL BILING RICHMOND,68.9265306122449,49
98,17806,LICEO FRANCES PAUL VALERY,68.85205479452055,73
99,156331,FUND COL SAN JUAN DEL CAMINO,68.84,5
100,179358,COLEGIO SAN JOSÉ,68.78666666666665,75
101,3046,CORP CULT COL ALEMAN,68.73333333333333,63
102,54197,INSTITUCION EDUCATIVA ASPAEN GIMNASIO ALTAMAR BILINGUE,68.7,8
103,19380,COL COLOMBO HEBREO,68.63529411764705,17
104,130187,COLEGIO SAGRADO CORAZON MONTEMAYOR,68.60000000000001,26
105,164145,COLEGIO SAN JOSÉ,68.51428571428572,14
106,66431,COL INTERNACIONAL DE BOGOTA,68.45454545454545,11
107,16733,COLEGIO BENNETT,68.42181818181818,55
108,130534,COLEGIO LA ARBOLEDA,68.33548387096776,31
109,39461,SEMINARIO MENOR ARQUIDIOCESANO,68.31666666666666,36
110,34306,COL COLOMBO GALES,68.20416666666665,48
111,3418,COLEGIO KARL C PARRISH,68.13469387755103,49
112,6023,COL. SAN LUIS GONZAGA,68.06881720430111,93
113,143644,COLEGIO BURECHE,68.04399999999998,50
114,89243,LIC MONTESSORI,68.04,15
115,155036,LIC TALLER SAN MIGUEL,67.968,25
116,53967,COLEGIO BILINGÜE MAXIMILIANO KOLBE,67.96363636363635,22
117,177766,COLEGIO NUEVO CAMBRIDGE,67.94,10
118,20503,COLEGIO TRINIDAD DEL MONTE SCHOOL OF THE SACRED HEART,67.8,20
119,18184,LICEO DE LOS ANDES,67.78461538461539,26
120,129650,COLEGIO BRITÁNICO-THE BRITISH SCHOOL,67.68484848484849,33
121,372,COL MARYMOUNT,67.60357142857143,56
122,11288,COL SAN FRANCISCO JAVIER,67.38936170212766,94
