,school_code,school_name,school_score,students_amount
0,99002,LIC CAMPO DAVID,76.74117647058823,17
1,98640,GIMNASIO COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,76.44528301886793,53
2,128728,GIMNASIO EL HONTANAR,76.2,13
3,19810,COL ANGLO AMERICANO,76.01428571428572,154
4,79806,COL NUEVO COLOMBO AMERICANO,75.96393442622951,61
5,3194,NUEVO COLEGIO DEL PRADO,75.83636363636361,55
6,24059,LIC NAVARRA,75.55555555555554,45
7,61614,COL  SAN BONIFACIO DE LAS LANZAS,75.31249999999999,48
8,66845,INST ALBERTO MERANI,75.04878048780488,41
9,147173,COL  ANGLOCANADIENSE DE NEIVA,74.91818181818181,22
10,14472,COL EL ROSARIO,74.46181818181819,55
11,96578,COLEGIO LOS ÁNGELES,74.36315789473683,38
12,125211,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),74.23636363636365,11
13,118539,COL INGLES,74.1888888888889,18
14,80127,COLEGIO CORAZONISTA,74.0607142857143,112
15,63438,COL NUEVA INGLATERRA,74.05797101449275,69
16,114082,GIMN SAN DIEGO,74.05454545454545,11
17,3665,FUNDACION EDUCATIVA INSTITUTO EXPERIMENTAL DEL ATLANTICO JOSE CELESTINO MUTIS,73.8,21
18,127472,COL BILINGUE DIVINO NIÑO,73.72727272727273,22
19,65177,ASPAEN GIMNASIO CANTILLANA,73.57391304347826,23
20,29462,FUND COL UIS,73.3277777777778,72
21,170837,CENTRO EDUCATIVO BOSTON INTERNACIONAL,73.31666666666666,12
22,14233,COL  SAN PEDRO CLAVER,73.31009174311926,109
23,54783,ASPAEN GIMNASIO YUMANA,73.25714285714287,21
24,133256,COLEGIO ALIANZA PEDAGOGICA,73.2060606060606,33
25,57992,COLEGIO ESPIRITU SANTO,72.97333333333333,30
26,12047,COL CALASANZ,72.84375000000001,96
27,23747,LIC  DE CERVANTES PADRES AGUSTINOS,72.66875,96
28,25338,COL REFOUS,72.44175824175824,91
29,164632,GIMNASIO JAIBANA,72.12,10
30,35816,COL LUIS LOPEZ DE MESA,72.11578947368422,19
31,37770,COLEGIO JOSE MARIA BERRIO,72.01538461538462,13
32,49189,COLEGIO SEMINARIO CORAZONISTA,71.88484848484848,33
33,22004,COL SAN PATRICIO,71.85000000000001,24
34,1446,COLEGIO THEODORO HERTZL,71.81818181818181,11
35,113597,COL.  GIMN. MOMPIANO,71.74782608695651,23
36,131888,COLOMBUS AMERICAN SCHOOL,71.62439024390245,41
37,193888,GIMNASIO VILLA FONTANA,71.58666666666666,15
