,school_code,school_name,school_score,students_amount
0,98640,COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,77.36904761904763,72
1,125211,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),76.93877551020408,14
2,24059,LIC NAVARRA,76.2984126984127,45
3,66845,INST ALBERTO MERANI,75.77232142857143,32
4,79806,COL NUEVO COLOMBO AMERICANO,75.40879120879121,65
5,99002,LIC CAMPO DAVID,75.19327731092437,17
6,19810,COL ANGLO AMERICANO,74.90963855421688,166
7,25338,COL REFOUS,74.82936507936508,72
8,80127,COLEGIO CORAZONISTA,74.27229146692234,149
9,14472,COL EL ROSARIO,73.80272108843536,42
10,23804,LIC ESPAÑOL PEREZ GALDOS,73.44642857142857,8
11,12047,COL CALASANZ,73.38151260504202,85
12,41996,COL MONTESSORI,73.14519906323186,61
13,14233,COL  SAN PEDRO CLAVER,72.9605911330049,116
14,3665,FUNDACION EDUCATIVA INSTITUTO EXPERIMENTAL DEL ATLANTICO JOSE CELESTINO MUTIS,72.93984962406016,19
15,22004,COL SAN PATRICIO,72.81904761904761,15
16,96578,COLEGIO LOS ÁNGELES,72.63174603174603,45
17,118539,COL INGLES,72.5798319327731,17
18,144337,COLEGIO SAN ALBERTO MAGNO,72.37815126050421,17
19,77602,GIM LOS ALMENDROS,72.36645962732919,23
20,190,COL DE LA COMPANIA DE MARIA,72.36446886446886,78
21,23747,LIC  DE CERVANTES PADRES AGUSTINOS,72.34902597402596,88
22,63438,COL NUEVA INGLATERRA,72.25714285714285,65
23,136267,COL REUVEN FEUERSTEIN,72.07518796992481,19
24,128728,GIMNASIO EL HONTANAR,71.82539682539681,36
25,29462,FUND COL UIS,71.77880184331798,93
26,3194,NUEVO COLEGIO DEL PRADO,71.71428571428571,61
27,65144,ASPAEN GIMNASIO SAUCARA,71.4179894179894,27
28,102632,COL AGUSTINIANO CIUDAD SALITRE,71.36842105263159,114
29,61614,COL  SAN BONIFACIO DE LAS LANZAS,71.2818532818533,37
30,152058,COLEGIO SAN JOSE DE LAS VEGAS,71.19274376417233,63
31,65177,ASPAEN GIMNASIO CANTILLANA,71.14935064935065,22
32,14316,INST  CALDAS,71.03703703703704,54
33,23598,INSTITUTO TÉCNICO CENTRAL,70.58496240601504,95
34,596,COL GIMN LOS PINARES,70.42084942084944,37
35,42069,COL FONTAN,70.37142857142858,5
36,113589,CENTRO DE EDUCACION EL RECREO,70.36428571428571,20
37,130245,COL SAINT ANDREWS,70.24489795918367,7
38,463,COL SAN IGNACIO DE LOYOLA,70.12811791383221,126
39,59337,INST MUSICAL DIEGO ECHAVARRIA,70.12244897959184,14
40,156232,COL CALASANZ,69.96428571428572,64
41,73494,CORP. EDUC. GIMN. ALTAIR DE C/GENA.,69.95864661654134,38
42,28274,COLEGIO ALEMAN,69.82142857142857,88
43,1784,COLOMBO BRITANICO,69.7991513437058,101
44,23895,LIC JUAN RAMON JIMENEZ,69.67115902964959,53
45,19828,COL ANTONIO NARIÑO H.H. CORAZONISTAS,69.63556851311954,49
46,37770,COLEGIO JOSE MARIA BERRIO,69.53174603174604,18
47,133256,COLEGIO ALIANZA PEDAGOGICA,69.52597402597402,22
48,127472,COL BILINGUE DIVINO NIÑO,69.50892857142857,16
49,2451,ASPAEN - GIMNASIO LOS ALCAZARES,69.45396825396826,45
50,1446,COLEGIO THEODORO HERTZL,69.39285714285714,20
51,21154,COL EMMANUEL D ALZON,69.32581453634084,57
52,174,COL CORAZONISTA,69.26190476190477,102
53,49189,COLEGIO SEMINARIO CORAZONISTA,69.2204081632653,35
54,170837,CENTRO EDUCATIVO BOSTON INTERNACIONAL,69.2077922077922,11
55,91306,LICEO MATOVELLE,69.18681318681318,13
56,164475,COL CALASANZ,69.15608465608466,54
57,57992,COLEGIO ESPIRITU SANTO,68.92610837438424,29
58,113597,COL.  GIMN. MOMPIANO,68.91208791208791,13
59,372,COL MARYMOUNT,68.86734693877551,56
60,22848,GIMN MODERNO,68.80890538033394,77
61,155549,COL NUEVO GIMNASIO,68.71428571428572,40
62,5108,COLEGIO SEMINARIO DIOCESANO,68.68435374149661,105
63,62919,COL BILING NUEVA ALEJANDRIA,68.65546218487395,17
64,126409,CORPORACION COLEGIO CUMBRES,68.64378478664193,77
