,school_code,school_name,school_score,students_amount
0,66845,INST ALBERTO MERANI                                                                                 ,57.80105263157895,19
1,24059,LIC NAVARRA                                                                                         ,57.62979545454545,44
2,23747,LIC  DE CERVANTES PADRES AGUSTINOS                                                                  ,57.1207741935484,93
3,25338,COL REFOUS                                                  ,56.41735185185185,54
4,65177,ASPAEN GIMNASIO CANTILLANA - SEDE PRINCIPAL,56.250391304347815,23
5,105171,CENT. DE ENSEÑANZA PRECOZ  NUEVO MUNDO ,56.233000000000004,5
6,49189,COLEGIO SEMINARIO CORAZONISTA                                                                       ,56.19118518518518,27
7,80127,COL CORAZONISTA HH DEL SAGRADO CORAZON                                                              ,56.02737974683545,79
8,99002,LIC CAMPO DAVID                                                                                     ,55.8770625,16
9,61614,COL  SAN BONIFACIO DE LAS LANZAS,55.61993749999999,16
10,3665,FUND EDUC. INST EXPERIMENTAL JOSE CELESTINO MUTIS,55.464899999999986,20
11,12047,COL CALASANZ,55.34265714285713,70
12,50039,ASPAEN GIMNASIO LA FRAGUA,54.92117857142857,28
13,19810,COL ANGLO AMERICANO                                                                                 ,54.09632954545455,176
14,59337,INST MUSICAL DIEGO ECHAVARRIA,54.04014285714285,7
15,59790,COLEGIO EL SOCORRO,53.92766666666666,24
16,596,COL GIMN LOS PINARES,53.81605084745763,59
17,79806,COL NUEVO COLOMBO AMERICANO                                                                         ,53.73016666666666,54
18,66860,GIMNASIO SANTA ANA,53.394499999999994,12
19,98640,GIMNASIO COLOMBO BRITANICO - SEDE PRINCIPAL,53.19871186440678,59
20,42069,COL FONTAN,53.1863,10
21,131755,COLEGIO EUROPEO CAMPESTRE VILLA ALEJANDRA - SEDE PRINCIPAL,53.166,2
22,21154,COL EMMANUEL D ALZON                                                                                ,53.124877551020404,49
23,14472,COL EL ROSARIO                                                                                      ,53.05560975609755,41
24,131888,COLOMBO AMERICAN SCHOOL,53.0539,10
25,14233,COL  SAN PEDRO CLAVER                                                                               ,53.025828828828814,111
26,190,COL DE LA COMPANIA DE MARIA,52.98834722222222,72
27,3194,NUEVO COL DEL PRADO,52.78449152542372,59
28,35816,COL LUIS LOPEZ DE MESA                                                                              ,52.70034999999999,20
29,68254,COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA,52.66205882352941,17
30,19828,COL ANTONIO NARIÑO H.H. CORAZONISTAS,52.56017021276595,47
31,23895,LIC JUAN RAMON JIMENEZ                                                                              ,52.507370370370374,54
32,63883,LIC VAL (VIDA-AMOR-LUZ)                                                                             ,52.47935,20
33,463,COL SAN IGNACIO DE LOYOLA,52.40850641025643,156
34,29462,FUND COL UIS,52.39172463768116,69
35,44065,ASPAEN-GIMNASIO LOS CEREZOS,52.33710000000001,10
36,19901,COL CALASANZ                                                                                        ,52.33362711864407,59
37,6148,LIC.  ARQUIDIOCESANO DE NTRA SEÑORA,52.29987804878049,41
38,61507,GIMNASIO ALTAIR DE LA SABANA,52.27928,50
39,65144,ASPAEN GIMNASIO SAUCARA                                                                             ,52.22396153846153,26
40,35204,COL. PARROQUIAL EL CARMELO,52.167793103448275,29
41,32730,COL DE LA SALLE                                                                                     ,52.12241509433962,159
42,96537,COLEGIO LA NUEVA ESPERANZA,52.09692307692307,65
43,73494,CORP. EDUC. GIMN. ALTAIR DE C/GENA.,52.07444444444444,18
44,12203,COL SANTO ANGEL DE LA GUARDA,52.072641025641026,39
45,102632,COL AGUSTINIANO CIUDAD SALITRE                                                                      ,52.06973394495413,109
46,121459,COL DE  CAMBRIDGE                                           ,51.968999999999994,3
47,110262,CORPORACION EDUCATIVA LA CONCEPCION (COL),51.86603703703703,27
48,44172,COL. GIMNASIO DEL NORTE,51.688875,112
49,103762,CAMPESTRE EDELMIRA NIETO,51.67546153846153,13
50,22012,COL SAN VIATOR                                                                                      ,51.653833333333324,90
51,3178,COL NUESTRA SEÑORA DEL BUEN CONSEJO,51.567152380952386,105
52,19778,COL ALFONSO JARAMILLO                                                                               ,51.50965,20
53,14555,INST ANTONIO NARIÑO,51.430030769230775,65
54,23564,INST SAN PABLO APOSTOL                                                                              ,51.29168085106382,47
