,school_code,school_name,school_score,students_amount
0,19489,COL SANTA FRANCISCA ROMANA                                                                          ,58.14137999999999,50
1,54528,COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA - SEDE PRINCIPAL,57.671124999999996,16
2,55129,COL LA QUINTA DEL PUENTE,57.662937500000005,32
3,24281,COL SAN JORGE DE INGLATERRA                                                                         ,57.511160493827155,81
4,25130,GIMN VERMONT                                                                                        ,57.45192424242425,66
5,130732,COL LA COLINA                                                                                       ,57.229000000000006,6
6,111658,COL CALATRAVA - SEDE PRINCIPAL,57.12499999999999,2
7,19471,COL SAN CARLOS                                                                                      ,56.956514018691585,107
8,43562,COL CAMPOALEGRE LTDA - SEDE PRINCIPAL,56.940619047619045,21
9,135558,COLEGIO REAL (ROYAL SCHOOL) - SEDE PRINCIPAL,56.873846153846145,26
10,79327,GIMN LA MONTAÑA,56.85242105263158,38
11,55988,COL LOS NOGALES                                                                                     ,56.50528260869565,46
12,110858,COL NUEVO CAMBRIDGE,56.1270465116279,43
13,62497,COL SAN MATEO APOSTOL                                                                               ,55.90253731343283,67
14,47357,COLEGIO ASPAEN GIMNASIO HORIZONTES,55.699090909090906,11
15,19349,COL ANDINO                                                                                          ,55.69228358208955,67
16,17004,COLEGIO HISPANOAMERICANO,55.57623880597015,67
17,79160,COLEGIO BILINGUE DIANA OESE ,55.40883333333334,24
18,46490,FUND GIMN LOS PORTALES                                                                              ,55.229459459459456,37
19,25411,GIMN DE LOS CERROS                                                                                  ,55.21666071428571,56
20,19364,COL ANGLO COLOMBIANO                                                                                ,55.17406422018349,109
21,62182,COL BILING BUCKINGHAM                                                                               ,55.144882352941174,34
22,19331,COL ABRAHAM LINCOLN                                                                                 ,55.12850000000001,66
23,16774,COLEGIO COLOMBO BRITÁNICO,55.03409210526315,76
24,19422,COL ITALIANO LEONARDO DA VINCI                                                                      ,54.930245614035094,57
25,105742,COLEGIO FREINET,54.82409090909092,33
26,24463,COL JEFFERSON,54.67014999999999,60
27,19513,FUND NUEVO MARYMOUNT                                                                                ,54.54180000000001,55
28,27011,GIMN. CARTAGENA DE INDIAS,54.44206666666667,30
29,143396,COLEGIO PHILADELPHIA INTERNACIONAL,54.35644444444445,9
30,19448,COL NUEVA GRANADA                                                                                   ,54.35220512820513,78
31,50724,COLEGIO ALBANIA,54.30431481481482,54
32,42069,COL FONTAN,54.086272727272735,11
33,17749,LICEO BENALCAZAR,54.07239583333334,48
34,21485,COL JOSE MAX LEON                                           ,54.06254,50
35,24299,LIC FRANCES LOUIS PASTEUR                                                                           ,54.045146341463415,82
36,29231,CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,54.036945945945945,37
37,106286,COL TILATA - SEDE PRINCIPAL                                                 ,53.942837837837835,37
38,95414,COL HACIENDA LOS ALCAPARROS                                 ,53.88795238095238,42
39,17335,COL BERCHMANS,53.789104838709676,124
40,55806,COLEGIO GIMNASIO LA COLINA,53.755852941176464,34
41,25395,GIMN CAMPESTRE                                                                                      ,53.74433333333333,72
42,22632,ASPAEN GIMNASIO IRAGUA ,53.63409090909091,66
43,19406,COL HELVETIA                                                                                        ,53.585780487804875,41
44,106229,COL FUND CARDENAL JHON HENRY NEWMAN                         ,53.51570212765958,47
45,94250,GIMN LOS CAOBOS                                             ,53.3869420289855,69
46,142661,COLEGIO GIMNASIO VERMONT                                                                            ,53.25718181818181,22
47,19505,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL) - SEDE PRINCIPAL,53.16146363636362,110
48,58065,COL LIC FRANCES DE PEREIRA,53.13631250000002,32
49,182,COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL                  ,53.13039823008848,113
50,19497,COL SANTA MARIA                                                                                     ,53.08548571428572,70
51,21899,COL SAN BARTOLOME LA MERCED                                                                         ,53.06859199999998,125
52,46557,COLEGIO BRITANICO INTERNACIONAL,52.99622033898306,59
53,26393,COL PANAMERICANO,52.99192857142857,42
54,48298,ASPAEN LICEO TACURÍ,52.92229411764705,17
55,149690,GIMN CAMP SAN RAFAEL                                        ,52.91728571428572,14
56,58867,ASOCIACION COLEGIO GRANADINO,52.9133125,32
57,17129,COLEGIO MAYOR ALFEREZ REAL,52.89283333333333,12
58,3418,SOC ESCUELA KARL C PARRISH,52.87550000000001,38
59,16667,CORPORACIÓN CULTURAL COLEGIO ALEMÁN - SEDE PRICIPAL,52.8559387755102,49
