,school_code,school_name,school_score,students_amount
0,79160,COLEGIO BILINGUE DIANA OESE,82.28151260504202,34
1,55988,COL LOS NOGALES,81.4930875576037,62
2,55129,COL LA QUINTA DEL PUENTE,81.26530612244899,14
3,130732,COL LA COLINA,80.12605042016807,17
4,19471,COL SAN CARLOS,79.95238095238099,105
5,24281,COL SAN JORGE DE INGLATERRA,79.90154440154443,74
6,143396,COLEGIO PHILADELPHIA INTERNACIONAL,79.8076923076923,26
7,19489,COL SANTA FRANCISCA ROMANA,78.95735607675905,67
8,43562,COL CAMPOALEGRE LTDA,78.90178571428572,16
9,62497,COL SAN MATEO APOSTOL,78.86753246753247,55
10,135905,LIC CAMPESTRE DE PEREIRA,78.72448979591836,14
11,110858,COL NUEVO CAMBRIDGE,78.13513513513513,37
12,25130,GIMN VERMONT,78.03861003861005,74
13,177469,COL  MONTESSORI BRITISH SCHOOL,77.92358803986713,43
14,79327,GIMN LA MONTAÑA,77.25835866261399,47
15,95414,COLEGIO HACIENDA LOS ALCAPARROS,77.2190476190476,45
16,88641,COLEGIO LEONARDO DA VINCI,76.45714285714287,10
17,17004,COLEGIO HISPANOAMERICANO,76.23933209647494,77
18,156166,GIMN ALESSANDRO VOLTA,76.12244897959184,7
19,16774,COLEGIO COLOMBO BRITÁNICO,76.06776556776556,78
20,49387,ASPAEN GIMNASIO CARTAGENA,75.93061224489796,35
21,19513,FUND NUEVO MARYMOUNT,75.82488479262673,62
22,25395,GIMN CAMPESTRE,75.75384615384615,65
23,58065,COL LIC FRANCES DE PEREIRA,75.67857142857143,32
24,62182,COL BILING BUCKINGHAM,75.67080745341615,46
25,19406,COL HELVETIA,75.42857142857142,50
26,118364,COLEGIO ALTAMIRA,75.0028011204482,51
27,21899,COL SAN BARTOLOME LA MERCED,74.95085714285715,125
28,16741,COL BOLIVAR,74.79251700680271,84
29,21485,COL JOSE MAX LEON,74.76530612244899,56
30,19422,COL ITALIANO LEONARDO DA VINCI,74.68650793650792,72
31,58867,ASOCIACION COLEGIO GRANADINO,74.55212355212353,37
32,48298,ASPAEN LICEO TACURÍ,74.50714285714285,20
33,19349,COL ANDINO,74.41818181818182,110
34,22574,GIMN FEMENINO,74.415873015873,45
35,19331,COL ABRAHAM LINCOLN,74.38095238095237,72
36,62455,COLEGIO BRITANICO DE CARTAGENA,74.33766233766232,33
37,130534,COLEGIO LA ARBOLEDA,74.27731092436976,17
38,54528,COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA.,74.23529411764706,34
39,66431,COL INTERNACIONAL DE BOGOTA,74.23076923076923,26
40,3459,COLEGIO MARYMOUNT,74.07317073170732,82
41,24463,COL JEFFERSON,73.91541353383457,76
