,school_code,school_name,school_score,students_amount
0,66845,INST ALBERTO MERANI                                                                                 ,56.334631578947366,19
1,99002,LIC CAMPO DAVID                                                                                     ,56.15475,16
2,49189,COLEGIO SEMINARIO CORAZONISTA                                                                       ,55.90059999999998,20
3,14233,COL  SAN PEDRO CLAVER                                                                               ,55.472283185840695,113
4,25338,COL REFOUS                                                  ,55.39340259740259,77
5,65177,ASPAEN GIMNASIO CANTILLANA - SEDE PRINCIPAL,55.035799999999995,10
6,14472,COL EL ROSARIO                                                                                      ,55.00312195121952,41
7,79806,COL NUEVO COLOMBO AMERICANO                                                                         ,54.70365957446808,47
8,23747,LIC  DE CERVANTES PADRES AGUSTINOS                                                                  ,54.46520618556701,97
9,3665,FUND EDUC. INST EXPERIMENTAL JOSE CELESTINO MUTIS,54.45745833333333,24
10,80127,COL CORAZONISTA HH DEL SAGRADO CORAZON                                                              ,54.43666999999999,100
11,96578,COLEGIO LOS ÁNGELES,54.40895238095239,21
12,190,COL DE LA COMPANIA DE MARIA,54.14110126582278,79
13,19810,COL ANGLO AMERICANO                                                                                 ,54.09911797752809,178
14,73494,CORP. EDUC. GIMN. ALTAIR DE C/GENA.,54.044688888888885,45
15,98640,GIMNASIO COLOMBO BRITANICO - SEDE PRINCIPAL,53.96905263157895,76
16,12047,COL CALASANZ,53.86640277777778,72
17,596,COL GIMN LOS PINARES,53.641542372881354,59
18,96701,IE JUAN BAUTISTA MARIA VIANNEY,53.515040000000006,25
19,68254,COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA,53.25355555555555,18
20,121459,COL DE  CAMBRIDGE                                           ,53.115,7
21,42069,COL FONTAN,53.114000000000004,2
22,123778,COL NUEVA ALIANZA INTEGRAL - SEDE PRINCIPAL,53.091071428571425,14
23,14555,INST ANTONIO NARIÑO,53.00374545454546,55
24,24059,LIC NAVARRA                                                                                         ,52.93893333333334,60
25,23895,LIC JUAN RAMON JIMENEZ                                                                              ,52.85193023255813,43
26,463,COL SAN IGNACIO DE LOYOLA,52.82642276422764,123
27,35816,COL LUIS LOPEZ DE MESA                                                                              ,52.80957142857143,21
28,19828,COL ANTONIO NARIÑO H.H. CORAZONISTAS,52.757576923076925,52
29,61614,COL  SAN BONIFACIO DE LAS LANZAS,52.68203846153846,26
30,37531,FUND EDUC DE MONTELIBANO,52.67552459016393,61
31,54783,ASPAEN GIMNASIO YUMANA,52.29585294117646,34
32,19778,COL ALFONSO JARAMILLO                                                                               ,52.116789473684214,19
33,41996,COL MONTESSORI,52.106339285714284,56
34,66860,GIMNASIO SANTA ANA,52.095000000000006,20
