,school_code,school_name,school_score,students_amount
0,99002,LIC CAMPO DAVID                                                                                     ,56.23846153846154,13
1,12047,COL CALASANZ,55.31715584415585,77
2,66845,INST ALBERTO MERANI                                                                                 ,55.3121875,16
3,24059,LIC NAVARRA                                                                                         ,55.29793617021278,47
4,138685,GLENN DOMAN ESCUELA PRECOZ,55.032999999999994,3
5,23747,LIC  DE CERVANTES PADRES AGUSTINOS                                                                  ,54.903520833333346,96
6,65177,ASPAEN GIMNASIO CANTILLANA - SEDE PRINCIPAL,54.56820588235294,34
7,136267,COL REUVEN FEUERSTEIN                                                                               ,54.55946666666667,15
8,23895,LIC JUAN RAMON JIMENEZ                                                                              ,54.384181818181816,44
9,49189,COLEGIO SEMINARIO CORAZONISTA                                                                       ,54.1068,30
10,14233,COL  SAN PEDRO CLAVER                                                                               ,53.914592233009714,103
11,3665,FUND EDUC. INST EXPERIMENTAL JOSE CELESTINO MUTIS,53.654800000000016,25
12,123778,COL NUEVA ALIANZA INTEGRAL - SEDE PRINCIPAL,53.60769230769232,13
13,14472,COL EL ROSARIO                                                                                      ,53.58623529411765,34
14,190,COL DE LA COMPANIA DE MARIA,53.585,77
15,3194,NUEVO COL DEL PRADO,53.57633333333334,48
16,79806,COL NUEVO COLOMBO AMERICANO                                                                         ,53.490300000000005,40
17,121459,COL DE  CAMBRIDGE                                           ,53.4236,5
18,25338,COL REFOUS                                                  ,53.413784615384614,65
19,19810,COL ANGLO AMERICANO                                                                                 ,53.38481203007519,133
20,41996,COL MONTESSORI,53.1764375,48
21,98640,GIMNASIO COLOMBO BRITANICO - SEDE PRINCIPAL,53.05947887323945,71
22,80127,COL CORAZONISTA HH DEL SAGRADO CORAZON                                                              ,52.842539325842694,89
23,61614,COL  SAN BONIFACIO DE LAS LANZAS,52.77935294117647,17
24,66951,COL TIERRA NUEVA                                            ,52.432599999999994,20
25,73494,CORP. EDUC. GIMN. ALTAIR DE C/GENA.,52.363296296296305,27
26,463,COL SAN IGNACIO DE LOYOLA,52.342000000000006,122
27,54783,ASPAEN GIMNASIO YUMANA,52.31062068965517,29
28,596,COL GIMN LOS PINARES,52.25266666666666,39
29,19901,COL CALASANZ                                                                                        ,52.12311764705881,68
30,131888,COLOMBO AMERICAN SCHOOL,52.038000000000004,14
31,138198,GIMN. NUEVA GRANADA,52.03125,4
32,102632,COL AGUSTINIANO CIUDAD SALITRE                                                                      ,52.02145045045046,111
33,14555,INST ANTONIO NARIÑO,51.91388524590163,61
34,125187,"""CENTRO DE DESARROLLO HUMANO """"CEDHU""""""",51.844800000000006,10
35,68254,COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA,51.813944444444445,18
36,126409,CORPORACION COLEGIO CUMBRES,51.80190476190476,42
37,133934,AMERICAN SCHOOL SAINT FRANCES,51.785000000000004,7
38,66860,GIMNASIO SANTA ANA,51.71625,12
39,50039,ASPAEN GIMNASIO LA FRAGUA,51.70238461538462,26
40,1784,COLOMBO BRITANICO,51.693155555555556,90
41,3202,COLEGIO DEL SAGRADO CORAZON,51.63089600000001,125
42,23804,LIC ESPAÑOL PEREZ GALDOS,51.62311111111111,9
43,19695,COL SAN TARSICIO                                                                                    ,51.556821428571425,28
44,37531,FUND EDUC DE MONTELIBANO,51.518794117647055,68
45,42069,COL FONTAN,51.47983333333334,6
46,65144,ASPAEN GIMNASIO SAUCARA                                                                             ,51.46788461538462,26
47,128728,GIMN EL HONTANAR - SEDE PRINCIPAL,51.430937500000006,16
48,96578,COLEGIO LOS ÁNGELES,51.43038888888889,18
49,174,COL CORAZONISTA,51.32776056338028,71
50,489,COL SAN JOSE DE LAS VEGAS,51.32093,100
51,77602,GIM LOS ALMENDROS,51.18066666666666,21
52,28274,COLEGIO ALEMAN                                              ,51.15415254237287,59
53,63438,COL NUEVA INGLATERRA                                                                                ,51.11264285714285,42
54,22012,COL SAN VIATOR                                                                                      ,51.01282926829268,82
55,20198,GIMN LOS ANDES                                                                                      ,50.87906122448981,98
56,23564,INST SAN PABLO APOSTOL                                                                              ,50.82086842105264,38
57,110262,CORPORACION EDUCATIVA LA CONCEPCION (COL),50.72459259259259,27
58,114082,GIMN SAN DIEGO,50.717636363636366,11
59,48223,COLEGIO THOMAS JEFFERSON,50.657218750000006,32
60,21154,COL EMMANUEL D ALZON                                                                                ,50.592163636363644,55
61,113597,COL.  GIMN. MOMPIANO,50.515470588235296,17
62,127472,COL BILINGUE DIVINO NIÑO - SEDE PRINCIPAL,50.48294117647058,17
63,125211,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),50.45772727272728,11
64,137968,COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI),50.403777777777776,9
65,760,INST JORGE ROBLEDO,50.344866666666675,45
66,32730,COL DE LA SALLE                                                                                     ,50.32971830985917,142
67,12203,COL SANTO ANGEL DE LA GUARDA,50.31592857142858,42
68,68882,COLEGIO SANTA CRUZ DE LA NUEVA BAEZA                                                                ,50.29225,16
69,2451,COLEGIO ASPAEN GIMNASIO LOS ALCAZARES                                                               ,50.27391304347826,46
70,29462,FUND COL UIS,50.2655,62
71,588,GIMN LOS CEDROS,50.24503333333334,30
72,76281,NUEVO GIMNASIO CRISTIANO                                    ,50.21675862068966,29
