,school_code,school_name,school_score,students_amount
0,79160,COLEGIO BILINGUE DIANA OESE,85.4,30
1,88641,COLEGIO LEONARDO DA VINCI,82.08888888888889,9
2,55988,COL LOS NOGALES,81.42142857142858,56
3,110858,COL NUEVO CAMBRIDGE,81.04406779661016,59
4,24281,COL SAN JORGE DE INGLATERRA,81.00243902439026,82
5,19471,COL SAN CARLOS,80.91923076923078,104
6,25130,GIMN VERMONT,80.88131868131865,91
7,55129,COL LA QUINTA DEL PUENTE,80.85000000000001,24
8,135905,LIC CAMPESTRE DE PEREIRA,80.72,5
9,43562,COL CAMPOALEGRE LTDA,80.64615384615384,13
10,79327,GIMN LA MONTAÑA,79.43921568627451,51
11,19489,COL SANTA FRANCISCA ROMANA,79.3142857142857,56
12,199273,COLEGIO EKIRAYA EDUCACION MONTESSORI,79.0,2
13,62497,COL SAN MATEO APOSTOL,78.91914893617023,47
14,130732,COL LA COLINA,78.3076923076923,13
15,19695,COL SAN TARSICIO,78.24347826086957,23
16,111682,EL CAMINO ACADEMY,78.22608695652175,23
17,25411,GIMN DE LOS CERROS,78.1243243243243,37
18,177469,COL  MONTESSORI BRITISH SCHOOL,77.9913043478261,46
19,62182,COL BILING BUCKINGHAM,77.79183673469389,49
20,149690,GIMNASIO CAMPESTRE SAN RAFAEL,77.41538461538461,13
21,143396,COLEGIO PHILADELPHIA INTERNACIONAL,77.27826086956522,23
22,46490,FUND GIMN LOS PORTALES,77.26829268292683,41
23,16741,COL BOLIVAR,77.2309523809524,84
24,49387,ASPAEN GIMNASIO CARTAGENA,77.17142857142858,14
25,19513,FUND NUEVO MARYMOUNT,76.75714285714285,70
26,156166,GIMN ALESSANDRO VOLTA,76.6,9
27,17004,COLEGIO HISPANOAMERICANO,76.36883116883116,77
28,19380,COL COLOMBO HEBREO,76.29473684210525,19
29,55806,COLEGIO GIMNASIO LA COLINA,76.22666666666667,30
30,19422,COL ITALIANO LEONARDO DA VINCI,76.1878787878788,66
31,19331,COL ABRAHAM LINCOLN,75.85538461538461,65
32,24299,LIC FRANCES LOUIS PASTEUR,75.77843137254902,102
33,54528,COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA.,75.62285714285713,35
34,25395,GIMN CAMPESTRE,75.45671641791043,67
35,19364,COL ANGLO COLOMBIANO,75.40305343511449,131
36,53348,COL BILING CLERMONT,75.34482758620689,29
37,164228,COL CUMBRES,75.26842105263158,38
38,142661,COLEGIO GIMNASIO VERMONT,75.25641025641023,39
39,4234,COLEGIO JORGE WASHINGTON,75.2,49
40,16774,COLEGIO COLOMBO BRITÁNICO,75.17866666666666,75
41,26393,COL PANAMERICANO,75.08260869565218,46
42,48298,ASPAEN LICEO TACURÍ,75.06923076923077,26
43,118364,COLEGIO ALTAMIRA,74.97272727272728,44
44,79285,GIMN FONTANA,74.95686274509804,51
